C2,AUDUSD,EURUSD,GBPUSD,NZDUSD,USDCAD,USDCHF,USDJPY
40455.98958,0.96648,1.36863,1.58495,0.7411,1.0235,0.97265,83.355
40456,0.96602,1.36788,1.58455,0.74035,1.0235,0.9727,83.35
40456.01042,0.96612,1.36875,1.58435,0.74055,1.02385,0.9726,83.355
40456.02083,0.96597,1.36893,1.58425,0.74055,1.0237,0.9722,83.38
40456.03125,0.96623,1.36894,1.58405,0.7411,1.0232,0.9718,83.365
40456.04167,0.96664,1.36918,1.5841,0.7414,1.02255,0.9717,83.375
40456.05208,0.9667,1.36898,1.58335,0.74115,1.0225,0.97205,83.38
40456.0625,0.96676,1.36884,1.58375,0.74085,1.0228,0.97245,83.36
40456.07292,0.96676,1.36886,1.58395,0.7412,1.0224,0.97255,83.365
40456.08333,0.96628,1.36845,1.58385,0.74095,1.02315,0.97325,83.375
40456.09375,0.96645,1.36837,1.58345,0.7411,1.02295,0.97245,83.38
40456.10417,0.96686,1.36869,1.58315,0.7417,1.02295,0.9721,83.38
40456.11458,0.96721,1.3685,1.5832,0.7412,1.02255,0.97265,83.37
40456.125,0.96683,1.36793,1.5827,0.7408,1.02295,0.97285,83.39
40456.13542,0.96691,1.3675,1.58235,0.7405,1.02225,0.9727,83.375
40456.14583,0.96708,1.36834,1.58295,0.7408,1.02235,0.97215,83.405
40456.15625,0.96783,1.36874,1.5831,0.741,1.0219,0.97205,83.41
40456.16667,0.96761,1.36849,1.5831,0.74105,1.02245,0.9722,83.41
40456.17708,0.96753,1.36844,1.5833,0.74093,1.02255,0.97205,83.415
40456.1875,0.96793,1.3684,1.5836,0.74103,1.02295,0.97165,83.39
40456.19792,0.96818,1.36847,1.58285,0.7416,1.02365,0.9714,83.35
40456.20833,0.96772,1.36822,1.5825,0.73975,1.023,0.97155,83.365
40456.21875,0.9678,1.36824,1.58255,0.73918,1.02285,0.97145,83.36
40456.22917,0.96784,1.36796,1.58295,0.73875,1.02305,0.97105,83.35
40456.23958,0.96735,1.36729,1.58205,0.73797,1.02315,0.9711,83.42
40456.25,0.96726,1.3675,1.5825,0.73838,1.0231,0.97155,83.405
40456.26042,0.96724,1.36767,1.58215,0.73844,1.0231,0.9716,83.44
40456.27083,0.96722,1.36763,1.5821,0.7388,1.02305,0.97185,83.48
40456.28125,0.96712,1.36746,1.5823,0.7388,1.02276,0.9717,83.51
40456.29167,0.96692,1.36747,1.58205,0.73885,1.023,0.97175,83.595
40456.30208,0.96682,1.36634,1.5811,0.7384,1.02325,0.97195,83.59
40456.3125,0.96681,1.3652,1.5805,0.7386,1.02335,0.9715,83.585
40456.32292,0.96683,1.36462,1.58065,0.7385,1.02345,0.97175,83.58
40456.33333,0.96698,1.36608,1.58125,0.739,1.02355,0.9721,83.555
40456.34375,0.96587,1.36549,1.58065,0.73855,1.02345,0.97245,83.58
40456.35417,0.96652,1.36659,1.5817,0.7392,1.02315,0.97215,83.565
40456.36458,0.96704,1.36702,1.58155,0.73925,1.023,0.97165,83.515
40456.375,0.96703,1.36677,1.58091,0.73925,1.023,0.97215,83.47
40456.38542,0.96682,1.36668,1.58105,0.73895,1.02325,0.9717,83.46
40456.39583,0.9662,1.36594,1.5807,0.73835,1.0233,0.9724,83.49
40456.40625,0.96664,1.36605,1.58037,0.73825,1.02345,0.9727,83.56
40456.41667,0.967,1.3665,1.5813,0.7383,1.02355,0.9721,83.505
40456.42708,0.96648,1.36526,1.58065,0.7375,1.0237,0.9717,83.465
40456.4375,0.96667,1.36472,1.58105,0.7372,1.02365,0.97205,83.485
40456.44792,0.96672,1.36559,1.5812,0.73735,1.0233,0.9724,83.475
40456.45833,0.96662,1.36535,1.58115,0.7377,1.0232,0.97275,83.49
40456.46875,0.96674,1.36612,1.58175,0.7379,1.02305,0.97255,83.465
40456.47917,0.95859,1.36468,1.581,0.7386,1.02455,0.97255,83.545
40456.48958,0.95874,1.36503,1.5817,0.7389,1.0244,0.9725,83.46
40456.5,0.95859,1.36455,1.58125,0.73915,1.0242,0.9728,83.515
40456.51042,0.95767,1.36504,1.58135,0.7387,1.02465,0.97275,83.545
40456.52083,0.95883,1.36675,1.5823,0.7392,1.02385,0.9725,83.81
40456.53125,0.95846,1.36836,1.583,0.7396,1.02335,0.9717,83.715
40456.54167,0.95788,1.36819,1.5816,0.7391,1.02465,0.97145,83.675
40456.55208,0.95764,1.36791,1.58075,0.73905,1.0238,0.97185,83.765
40456.5625,0.95812,1.37002,1.5807,0.7396,1.02325,0.97115,83.865
40456.57292,0.95748,1.37004,1.58125,0.73925,1.02325,0.97145,83.805
40456.58333,0.95756,1.37016,1.582,0.73945,1.0242,0.9707,83.77
40456.59375,0.95808,1.37148,1.5823,0.74055,1.02425,0.9702,83.695
40456.60417,0.95657,1.37057,1.5801,0.7395,1.0244,0.971,83.675
40456.61458,0.95639,1.37023,1.58025,0.7402,1.02495,0.9717,83.7
40456.625,0.95558,1.37096,1.5786,0.74025,1.02505,0.97075,83.79
40456.63542,0.95493,1.36937,1.57915,0.73865,1.02565,0.9706,83.73
40456.64583,0.95779,1.37468,1.5819,0.741,1.0239,0.9688,83.67
40456.65625,0.95858,1.37663,1.5855,0.74225,1.02215,0.9684,83.5
40456.66667,0.95883,1.37632,1.58525,0.74205,1.02205,0.9682,83.355
40456.67708,0.96003,1.37797,1.58955,0.7433,1.02105,0.9669,83.34
40456.6875,0.96066,1.37833,1.5902,0.74335,1.0208,0.96735,83.325
40456.69792,0.96062,1.37762,1.58975,0.7421,1.02075,0.9673,83.335
40456.70833,0.95992,1.37737,1.588,0.74155,1.0215,0.96815,83.32
40456.71875,0.95911,1.37693,1.58765,0.7412,1.02145,0.9673,83.395
40456.72917,0.95955,1.37826,1.5876,0.74165,1.02125,0.96695,83.365
40456.73958,0.95947,1.37748,1.58865,0.7419,1.0215,0.96725,83.43
40456.75,0.95924,1.37711,1.58855,0.74215,1.02115,0.96735,83.41
40456.76042,0.95919,1.37726,1.58725,0.74225,1.021,0.96785,83.425
40456.77083,0.95996,1.37764,1.5875,0.7426,1.02105,0.96705,83.4
40456.78125,0.95952,1.37671,1.5869,0.74235,1.021,0.9683,83.34
40456.79167,0.96014,1.37736,1.5874,0.7429,1.0211,0.9682,83.325
40456.80208,0.96052,1.37674,1.5873,0.74295,1.02055,0.96785,83.33
40456.8125,0.96057,1.37667,1.58735,0.74305,1.02135,0.9692,83.33
